Jahr,Stadtteil,Gesamt,Frauen,ausländische Bevölkerung,Anteil ausländischer Bevölkerung,Billeter-Maß J,Jugendquote,Altenquote,Altersdurchschnitt
2024,Brückfeld,3479,1796,331,9.5142282265018689,-0.64031862745098034,22.985347985347985,36.30952380952381,44.530755964357574
2024,Berliner Chaussee,2456,1219,33,1.3436482084690555,-1.1105769230769231,28.30832196452933,39.222373806275577,47.299267100977197
2024,Cracau,7839,4082,599,7.6412807756091343,-0.89772727272727271,21.334723670490092,42.148070907194999,47.192180125015945
2024,Prester,2011,1001,21,1.04425658876181,-1.445324881141046,25.563909774436087,42.439431913116124,49.189706613625063
2024,Zipkeleben,290,138,7,2.4137931034482758,0.27407407407407408,62.424242424242429,13.333333333333334,33.1
2024,Kreuzhorst,0,0,0,0,0,0,0,0
2024,Herrenkrug,1384,592,387,27.962427745664741,-0.43864229765013057,17.473684210526315,28.210526315789476,41.517341040462426
2024,Rothensee,3163,1560,278,8.7891242491305732,-0.54361932227829846,29.927385892116181,34.128630705394194,42.827853303825485
2024,Industriehafen,311,25,263,84.565916398713824,0,3.7162162162162162,1.3513513513513513,30.827974276527332
2024,Gewerbegebiet Nord,14,6,.,.,.,.,.,.
2024,Barleber See,80,39,.,.,-1.1599999999999999,35.714285714285715,54.761904761904766,46.9375
2024,Pechau,527,261,7,1.3282732447817838,-1.5225806451612902,29.372937293729372,44.554455445544555,49.543643263757119
2024,Randau-Calenberge,546,267,4,0.73260073260073255,-1.2122905027932962,27.987421383647799,43.710691823899374,48.153846153846153
2024,Beyendorf-Sohlen,1272,630,23,1.8081761006289307,-0.98245614035087714,30.662983425414364,45.027624309392266,46.845125786163521
2024,Magdeburg,245521,123178,37454,15.254906912239685,-0.69579850478633898,24.615931864399954,40.166580535178561,45.179905181226857
2023,Altstadt,16619,8408,3715,22.3539322462242,-0.68691073833721072,16.381156316916488,45.376678995522681,46.399211745592396
2023,Werder,2981,1524,181,6.071787990607179,-1.0460069444444444,21.320411871592974,59.236826165960025,49.298725259979875
2023,Alte Neustadt,11855,5554,3225,27.203711514129058,-0.33543064876957496,15.828350334154063,23.168015007621058,39.440868831716578
2023,Neue Neustadt,15940,7649,4301,26.982434127979925,-0.49752772952024588,28.532416304237891,32.689390108222923,42.248996235884569
2023,Neustädter See,11350,5830,2321,20.44933920704846,-1.0517158047365878,30.404248030147311,64.01164782459746,48.621497797356831
2023,Kannenstieg,6100,3174,1426,23.377049180327869,-1.0209224916785544,36.738168198842359,70.956758597208037,48.114754098360656
2023,Neustädter Feld,9631,4876,1166,12.106738656421971,-0.97671929355097675,25.488721804511279,55.545112781954884,48.131606271415222
2023,Sülzegrund,7,4,0,0, .       ,0,75,64.928571428571431
2023,Großer Silberberg,0,0,0,0,0,0,0,0
2023,Nordwest,4521,2334,68,1.5040920150409203,-1.652542372881356,28.399668325041461,59.038142620232172,50.919597434195971
2023,Alt Olvenstedt,3842,1944,80,2.0822488287350338,-1.3811881188118811,26.433260393873088,41.706783369803063,48.590057261842787
2023,Neu Olvenstedt,11960,6074,1729,14.456521739130434,-0.68495934959349591,31.553610503282275,42.917578409919763,44.478177257525083
2023,Stadtfeld Ost,25222,12851,2251,8.9247482356672752,-0.4072161033042157,23.563149719201817,27.12390966662684,41.588851003092536
2023,Stadtfeld West,14478,7686,621,4.2892664732697883,-1.1632731463695736,24.244648318042813,52.856269113149843,49.378643459041307
2023,Diesdorf,3965,1987,45,1.1349306431273645,-0.87920937042459735,35.39399216369177,37.222464083587283,45.054854981084489
2023,Sudenburg,18330,9126,3223,17.583196944899075,-0.48026970266386648,25.112717992343686,30.820927264993621,42.365302782324058
2023,Ottersleben,10310,5286,173,1.6779825412221143,-1.168110918544194,28.519012675116745,43.428952635090063,47.77720659553831
2023,Lemsdorf,2195,1103,116,5.284738041002278,-0.908881199538639,24,38.592592592592595,46.851708428246013
2023,Leipziger Straße,16098,8229,4133,25.673996769785067,-0.45459170694479778,27.367357251136937,35.320869125821119,42.057895390731765
2023,Reform,11860,6329,1318,11.112984822934232,-1.5152766308835672,28.527397260273972,74.554794520547944,52.015092748735242
2023,Hopfengarten,4461,2204,125,2.8020623178659494,-1.327385037748799,26.196859440827268,44.657219456147068,49.051894194126881
2023,Beyendorfer Grund,11, .       ,0, .       ,-1.25,10,0,44.590909090909093
2023,Buckau,6752,3375,718,10.633886255924169,-0.33922829581993569,21.701315231226133,21.531607976240984,40.442387440758296
2023,Fermersleben,3586,1712,574,16.006692693809256,-0.55516637478108577,23.313659359190556,27.866779089376053,42.47936419408812
2023,Salbke,4628,2146,731,15.795159896283492,-0.83800952885124402,24.491978609625669,40.499108734402853,45.942523768366463
2023,Westerhüsen,3346,1654,207,6.186491332934847,-0.90453074433656955,30.278063851699276,42.018537590113283,46.179019725044832
2023,Brückfeld,3391,1768,307,9.0533765850781478,-0.65344603381014299,24.236641221374043,37.547709923664122,44.443084635800652
2023,Berliner Chaussee,2465,1227,33,1.3387423935091278,-1.1457831325301204,27.412868632707777,37.801608579088466,47.188438133874236
2023,Cracau,7946,4120,537,6.7581172917191044,-0.89691979261970112,21.717690569139101,41.545099650708856,46.934935816763151
2023,Prester,2021,1007,21,1.0390895596239487,-1.4432176656151419,25.185185185185183,41.152263374485599,48.885947550717468
2023,Zipkeleben,290,138,7,2.4137931034482758,0.34328358208955223,62.424242424242429,13.333333333333334,32.086206896551722
2023,Kreuzhorst,0,0,0,0,0,0,0,0
2023,Herrenkrug,1440,590,431,29.930555555555554,-0.39281288723667906,18.263473053892216,25.449101796407188,40.009722222222223
2023,Rothensee,3066,1483,232,7.5668623613829089,-0.58666666666666667,28.859416445623342,33.793103448275865,43.11643835616438
2023,Industriehafen,306,27,256,83.66013071895425,-2.1428571428571429E-2,3.4482758620689653,2.0689655172413794,31.156862745098039
2023,Gewerbegebiet Nord,20,8, .       , .       , .       , .       , .       , .       
2023,Barleber See,82,41, .       , .       ,-1,38.095238095238095,57.142857142857139,46.146341463414636
2023,Pechau,532,261,7,1.3157894736842104,-1.5290322580645161,29.073482428115017,40.894568690095845,49.156015037593988
2023,Randau-Calenberge,556,275,4,0.71942446043165476,-1.1827956989247312,29.447852760736197,41.104294478527606,47.39568345323741
2023,Beyendorf-Sohlen,1256,617,18,1.4331210191082804,-1.0505747126436782,29.55801104972376,43.922651933701658,46.902070063694268
2023,Magdeburg,243419,122624,34303,14.092162074447762,-0.71774536988842308,25.21218886340278,40.468006615800327,45.193922824430302
2022,Altstadt,16688,8526,3662,21.943911792905084,-0.68609645355258309,16.755758577121195,45.436874331810671,46.171081016299134
2022,Werder,3024,1525,174,5.753968253968254,-1.1097345132743364,22.148461074230539,60.350030175015092,49.451388888888886
2022,Alte Neustadt,11818,5580,3048,25.791166017938739,-0.3566533409480297,16.095362353220256,24.077808089194637,39.713826366559488
2022,Neue Neustadt,15760,7618,3948,25.050761421319795,-0.53106876553438276,28.020014295925659,32.911263147145917,42.60564720812183
2022,Neustädter See,11196,5776,2072,18.506609503394071,-1.1105527638190955,29.820275693596233,65.538300471121971,49.045194712397283
2022,Kannenstieg,6077,3204,1308,21.523778180023037,-1.1178518150174044,37.160751565762006,74.28670842032011,48.620618726345235
2022,Neustädter Feld,9679,4913,1079,11.147845851844199,-0.991044776119403,26.384180790960453,55.89453860640301,48.012449633226574
2022,Sülzegrund,10,.,0,0,.,.,.,.
2022,Großer Silberberg,0,0,0,0,0,0,0,0
2022,Nordwest,4499,2325,68,1.5114469882196044,-1.6912698412698413,28.241123038810901,57.514450867052027,50.787397199377637
2022,Alt Olvenstedt,3898,1967,84,2.1549512570549001,-1.3357546408393866,26.552462526766597,40.385438972162738,48.088250384812724
2022,Neu Olvenstedt,11782,5952,1541,13.079273468002036,-0.71320437342304455,31.477389895419062,42.068051259390188,44.455780003395006
2022,Stadtfeld Ost,25307,13007,2129,8.4126921405144834,-0.40301592161665645,24.210337401292175,27.183536731275424,41.370312561741812
2022,Stadtfeld West,14597,7720,565,3.8706583544563951,-1.187524290711232,24.352268580464663,53.20520617929693,49.282763581557852
2022,Diesdorf,3900,1944,57,1.4615384615384615,-0.93067068575734735,34.420449537241076,37.4614367562803,45.212564102564102
2022,Sudenburg,18389,9230,3099,16.852466148240797,-0.48397507233474291,25.27668993699983,31.278733185765368,42.300152264940998
2022,Ottersleben,10455,5350,208,1.9894787183165947,-1.1254912970241437,28.552803129074317,41.835071707953063,47.380631276901006
2022,Lemsdorf,2191,1094,131,5.9790050205385672,-0.94935217903415781,24.228743416102333,40.632054176072238,47.217480602464626
2022,Leipziger Straße,15987,8217,3815,23.863138800275223,-0.48085496984002096,28.03834656221008,36.759097000309247,42.299774817038845
2022,Reform,11856,6376,1170,9.8684210526315788,-1.5927189988623436,28.873117535052796,76.354509260862031,52.188427800269906
2022,Hopfengarten,4446,2194,109,2.4516419253261357,-1.3211072664359862,26.267281105990779,44.47004608294931,48.967161493477285
2022,Beyendorfer Grund,13,.,.,.,.,.,.,.
2022,Buckau,6482,3239,643,9.9197778463437203,-0.3414289748658571,22.018145607435276,21.420668289444567,40.397716754088243
2022,Fermersleben,3611,1734,553,15.314317363611188,-0.53177842565597666,24.957627118644069,28.050847457627121,41.9970922182221
2022,Salbke,4533,2177,548,12.089124200308845,-0.89827586206896548,27.303370786516858,42.471910112359552,46.173946613721597
2022,Westerhüsen,3374,1686,211,6.2537048014226437,-0.91993464052287577,29.81303688731683,40.677109651339059,45.960580912863072
2022,Brückfeld,3451,1775,308,8.9249492900608516,-0.62468354430379747,24.279069767441861,36.232558139534881,43.944219066937123
2022,Berliner Chaussee,2384,1194,29,1.2164429530201342,-1.19,26.261230131306153,38.493434692467169,47.578439597315437
2022,Cracau,8062,4186,480,5.9538576035723141,-0.89441747572815533,22.400162173119806,41.02979931076424,46.684321508310596
2022,Prester,2067,1022,13,0.62893081761006298,-1.3898305084745763,26.484751203852326,39.406099518459072,48.306966618287376
2022,Zipkeleben,279,132,8,2.8673835125448028,0.3014705882352941,61.0062893081761,14.465408805031446,31.983870967741936
2022,Kreuzhorst,0,0,0,0,0,0,0,0
2022,Herrenkrug,1342,581,339,25.260804769001489,-0.46781115879828328,19.822812846068661,28.792912513842744,41.172131147540981
2022,Rothensee,2973,1426,212,7.1308442650521355,-0.6207974980453479,29.194260485651213,34.87858719646799,43.400773629330644
2022,Industriehafen,192,25,145,75.520833333333343,-5.5214723926380369E-2,7.5144508670520231,3.4682080924855487,33.494791666666664
2022,Gewerbegebiet Nord,19,8,.,.,.,.,.,.
2022,Barleber See,82,42,.,.,-0.80645161290322576,38.095238095238095,57.142857142857139,45.5
2022,Pechau,521,252,.,.,-1.5723684210526316,25.3125,37.5,49.375239923224569
2022,Randau-Calenberge,553,271,.,.,-1.1584699453551912,31.172839506172838,39.506172839506171,47.160036166365281
2022,Beyendorf-Sohlen,1256,615,13,1.0350318471337578,-1.0562060889929743,29.848693259972492,42.916093535075653,46.536624203821653
2022,Magdeburg,242753,122891,31779,13.091084353231475,-0.73613296142227025,25.515161898235394,40.839472331677229,45.217091034920266
2021,Altstadt,16453,8372,3142,19.096821248404545,-0.70769807548112973,15.84909377462569,46.217494089834517,46.42432990943901
