Jahr,Stadtteil,0 - 6 Jahre,7 - 17 Jahre,18 - 44 Jahre,45 - 64 Jahre,ab 65 Jahre,gesamt
2021,Nordwest,221,482,924,1598,1372,4597
2021,Alt Olvenstedt,231,394,896,1472,911,3904
2021,Neu Olvenstedt,758,1260,3763,2954,2736,11471
2021,Stadtfeld Ost,1807,2172,11171,5488,4568,25206
2021,Stadtfeld West,751,1213,4079,4067,4412,14522
2021,Diesdorf,316,450,1056,1278,811,3911
2021,Sudenburg,1264,1613,7438,4062,3699,18076
2021,Ottersleben,566,1141,2596,3536,2516,10355
2021,Lemsdorf,111,202,651,668,548,2180
2021,Leipziger Straße,1192,1381,6272,3080,3630,15555
2021,Reform,587,983,2577,3087,4491,11725
2021,Hopfengarten,219,463,1015,1581,1167,4445
2021,Beyendorfer Grund,0,.,11,.,0,20
2021,Buckau,453,536,2943,1409,923,6264
2021,Fermersleben,247,328,1379,945,670,3569
2021,Salbke,305,420,1386,1324,1113,4548
2021,Westerhüsen,215,362,920,1012,814,3323
2021,Brückfeld,197,307,1323,818,768,3413
2021,Berliner Chaussee,131,234,570,853,548,2336
2021,Cracau,411,666,2710,2250,2052,8089
2021,Prester,82,249,424,804,480,2039
2021,Zipkeleben,60,32,119,35,23,269
2021,Kreuzhorst,0,0,0,0,0,0
2021,Herrenkrug,68,123,600,297,263,1351
2021,Rothensee,228,293,1028,790,615,2954
2021,Industriehafen,4,5,132,23,6,170
2021,Gewerbegebiet Nord,.,.,.,.,.,17
2021,Barleber See,9,8,18,20,23,78
2021,Pechau,21,64,90,222,120,517
2021,Randau-Calenberge,37,59,136,196,129,557
2021,Beyendorf-Sohlen,90,115,339,398,320,1262
2021,Magdeburg,14738,21323,84457,59951,59501,239970
